"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Sign-In Page Verification","Verify Presence of Page Elements","0","0","1","0","0"
"","My Account Page Verification","Verify Text and Values of Elements","0","0","1","0","0"
"","Product Page Verification","Page Title and URL Validation","0","0","16","0","0"
"","Catalog Page Verification","Verify Navigation from Sidebar Links","0","0","5","0","0"
"","Search Function Verification","Verify product details for search results","0","0","16","0","0"
"","Welcome Page Verification","Verify Link URL","0","0","1","0","0"
"","Item Page Verification","Text and Detailed Information Verification","0","0","28","0","0"
"","Search Function Verification","Search with valid inputs showing only one product image","4","0","0","0","0"
"","Category Page Verification","Verify Presence of Page Elements","0","0","5","0","0"
"","Help Page Verification","Verify Navigation from Header Links","0","0","11","0","0"
"","Shipping Address Page Verification","Verifying Shipping Address Submission","0","0","1","0","0"
"","Category Page Verification","Verify Category Page Details from Main Image Section","0","0","16","0","0"
"","Search Function Verification","Search with valid inputs showing only one product description","4","0","0","0","0"
"","Order Form Page Verification","Verifying Shipping Address Page Navigation","0","0","1","0","0"
"","Product Page Verification","Verify Product Page Elements","0","0","16","0","0"
"","Category Page Verification","Verify Back Link and Product Links","0","0","16","0","0"
"","Catalog Page Verification","Verify Navigation from Main Image Section","0","0","5","0","0"
"","Catalog Page Verification","Verify Text of Elements","0","0","1","0","0"
"","My Account Page Verification","Verify Presence of Page Elements","0","0","1","0","0"
"","Shipping Address Page Verification","Verifying Shipping Address Page Elements","0","0","1","0","0"
"","Shipping Address Page Verification","Verifying Shipping Address Page Values and Texts","0","0","1","0","0"
"","Search Function Verification","Search with an empty input","1","0","1","0","0"
"","Order Form Page Verification","Verifying Order Form Page Elements","0","0","1","0","0"
"","Registration Page Verification","Verify Presence of Page Elements","0","0","1","0","0"
"","Order Information Page Verification","Verifying Order Information Page Elements","0","0","1","0","0"
"","My Account Page Verification","Verify Account Information Matches Registration Information","0","0","1","0","0"
"","My Account Page Verification","Verify My Orders Link URL","0","0","1","0","0"
"","My Account Page Verification","Verify Account Information Persistence After Update","1","0","0","0","0"
"","Registration Page Verification","Create New Account and Verify Navigation","0","0","1","0","0"
"","Search Function Verification","Search with valid inputs showing only one product name","4","0","0","0","0"
"","My Account Page Verification","Verify Account Update and Re-login","1","0","0","0","0"
"","Order Information Page Verification","Verifying Order Information Page Details","1","0","0","0","0"
"","Order Confirmation Page Verification","Verifying Order Confirmation Page Links","0","0","1","0","0"
"","My Orders Page Verification","Verifying My Orders Page Elements and Information","1","0","0","0","0"
"","Registration Page Verification","Verify Page Title and URL","0","0","1","0","0"
"","Catalog Page Verification","Verify Page Title and URL","0","0","1","0","0"
"","Welcome Page Verification","Verify Presence of Page Elements","0","0","1","0","0"
"","Order Form Page Verification","Verifying Order Form Page Values and Texts","0","0","1","0","0"
"","Help Page Verification","Verify Header Link href Values","0","0","1","0","0"
"","Help Page Verification","Verify Page Title and URL","0","0","1","0","0"
"","Welcome Page Verification","Verify Text of Elements","0","0","1","0","0"
"","My Account Page Verification","Verify Page Title and URL","0","0","1","0","0"
"","Sign-In Page Verification","Verify User Registration and Login Flow","0","0","1","0","0"
"","Order Confirmation Page Verification","Verifying Order Confirmation Page Details and Submission","0","0","1","0","0"
"","Welcome Page Verification","Verify Navigation to Catalog Page","0","0","1","0","0"
"","Order Confirmation Page Verification","Verifying Order Confirmation Page Elements","0","0","1","0","0"
"","Sign-In Page Verification","Verify Error Message for Invalid Login Credentials","0","0","1","0","0"
"","Help Page Verification","Verify Presence of Page Elements","0","0","1","0","0"
"","Welcome Page Verification","Verify Page Title and URL","0","0","1","0","0"
"","Catalog Page Verification","Verify Element Attributes","0","0","1","0","0"
"","Help Page Verification","Verify Text of Elements","0","0","1","0","0"
